author_anonymous,package_id,asset_type,content_category,reason_code,original_audio_language,source_language,target_language,runtime_minutes,start_date,submit_date,due_date,on_time
ARbECEWC,2082433,SUBTITLE,VIDEO,STANDARD,en,en,it,54.7,2023-01-16,2023-01-19,2023-01-20,1
pXIMiKiS,2124566,SUBTITLE,VIDEO,STANDARD,fr,en,ru,88.3,2022-12-30,2023-01-19,2023-01-21,1
dOKZOfsD,1940509,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,16.5,2023-01-12,2023-01-19,2023-01-21,1
ginhFndb,2124566,SUBTITLE,VIDEO,STANDARD,fr,en,en,88.3,2023-01-03,2023-01-19,2023-01-19,1
ARbECEWC,2096064,SUBTITLE,VIDEO,STANDARD,en,en,it,26.5,2023-01-17,2023-01-19,2023-01-21,1
qqGLQCrL,2096061,SUBTITLE,VIDEO,STANDARD,en,en,fil,27.6,2023-01-18,2023-01-19,2023-01-19,1
dOKZOfsD,1940510,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,16.3,2023-01-12,2023-01-19,2023-01-24,1
wpXCCDFZ,2096064,SUBTITLE,VIDEO,STANDARD,en,en,hr,26.5,2023-01-16,2023-01-19,2023-01-21,1
bEihoqpm,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,ro,33.5,2023-01-19,2023-01-19,2023-01-21,1
TBFSBpEH,2124566,SUBTITLE,VIDEO,STANDARD,fr,en,ko,88.3,2023-01-16,2023-01-19,2023-01-19,1
dNvmerab,2107925,SUBTITLE,VIDEO,STANDARD,en,en,ko,38.4,2023-01-15,2023-01-20,2023-01-20,1
dOKZOfsD,1940511,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,16.9,2023-01-12,2023-01-20,2023-01-25,1
dOKZOfsD,1940506,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,18.0,2023-01-12,2023-01-20,2023-01-26,1
aPwEDcIn,2096064,SUBTITLE,VIDEO,STANDARD,en,en,ro,26.5,2023-01-19,2023-01-20,2023-01-21,1
ZMnioVxt,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,zh-Hans,33.5,2023-01-17,2023-01-20,2023-01-21,1
GfbGkaBW,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,cs,33.5,2023-01-16,2023-01-20,2023-01-21,1
LsKhZFFt,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,fi,51.8,2023-01-17,2023-01-20,2023-01-23,1
gFmRQHMG,2096064,SUBTITLE,VIDEO,STANDARD,en,en,hu,26.5,2023-01-18,2023-01-20,2023-01-21,1
BOYzMCiQ,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,ru,33.5,2023-01-18,2023-01-20,2023-01-21,1
WdqKyPCi,2115982,SUBTITLE,VIDEO,STANDARD,en,en,pt-BR,45.8,2023-01-13,2023-01-20,2023-01-27,1
AdfPeukL,2096064,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hans,26.5,2023-01-11,2023-01-20,2023-01-21,1
LgPgBGdp,1693007,SUBTITLE,VIDEO,STANDARD,en,en,fil,43.1,2023-01-10,2023-01-20,2023-01-21,1
GKmotSZg,2112385,SUBTITLE,VIDEO,STANDARD,en,en,de,35.5,2023-01-14,2023-01-20,2023-01-20,1
hknphKFV,2096064,SUBTITLE,VIDEO,STANDARD,en,en,ms,26.5,2023-01-17,2023-01-20,2023-01-21,1
yNGtTaDf,2096064,SUBTITLE,VIDEO,STANDARD,en,en,pt-BR,26.5,2023-01-17,2023-01-20,2023-01-21,1
jAfMUuOW,2082433,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hant,54.7,2023-01-16,2023-01-20,2023-01-20,1
qguDhweS,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,pl,33.5,2023-01-13,2023-01-20,2023-01-21,1
OMVTdGEt,2096064,SUBTITLE,VIDEO,STANDARD,en,en,sv,26.5,2023-01-16,2023-01-20,2023-01-21,1
tgShWguZ,2077698,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,36.3,2023-01-20,2023-01-20,2023-01-24,1
eSgINOPj,2096064,SUBTITLE,VIDEO,STANDARD,en,en,fi,26.5,2023-01-08,2023-01-20,2023-01-21,1
tgShWguZ,2077693,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,37.4,2023-01-20,2023-01-20,2023-01-24,1
yJlYErnx,2117730,SUBTITLE,VIDEO,STANDARD,es,en,it,111.6,2022-12-02,2023-01-20,2023-01-20,1
oXKSBqOu,2134534,SUBTITLE,VIDEO,STANDARD,en,en,hr,22.1,2023-01-19,2023-01-20,2023-01-20,1
IUbMxeZw,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,hr,33.5,2023-01-18,2023-01-20,2023-01-21,1
DUuoCGoM,2094560,SUBTITLE,VIDEO,STANDARD,ko,en,zh-Hans,52.2,2023-01-18,2023-01-20,2023-01-21,1
OErZfWyS,1392452,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.3,2023-01-11,2023-01-20,2023-01-21,1
HKHqeEnW,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,fil,51.8,2023-01-17,2023-01-20,2023-01-23,1
TBFSBpEH,2096064,SUBTITLE,VIDEO,STANDARD,en,en,ko,26.5,2023-01-19,2023-01-20,2023-01-21,1
pZsxbtgD,2104156,SUBTITLE,VIDEO,STANDARD,pl,en,hu,98.4,2022-12-29,2023-01-20,2023-01-20,1
gpGfSHCP,2124769,SUBTITLE,VIDEO,STANDARD,en,en,fil,24.1,2023-01-20,2023-01-20,2023-01-23,1
KRfKyHYR,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,uk,33.5,2023-01-20,2023-01-20,2023-01-21,1
ZVDveMBf,2104156,SUBTITLE,VIDEO,STANDARD,pl,en,hr,98.4,2023-01-11,2023-01-20,2023-01-20,1
txcQyuUP,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,nb,33.5,2023-01-16,2023-01-20,2023-01-21,1
IVvLUKNn,2096064,SUBTITLE,VIDEO,STANDARD,en,en,cs,26.5,2023-01-19,2023-01-20,2023-01-21,1
pvSCHQoU,2135121,SUBTITLE,VIDEO,STANDARD,ko,ko,zh-Hant,42.3,2023-01-17,2023-01-20,2023-01-21,1
gpGfSHCP,1392455,SUBTITLE,VIDEO,STANDARD,ja,en,fil,15.3,2023-01-19,2023-01-20,2023-01-28,1
sSkVUcgL,2095601,SUBTITLE,VIDEO,STANDARD,id,en,pt-BR,23.2,2023-01-19,2023-01-20,2023-01-21,1
nItEwbCX,2095601,SUBTITLE,VIDEO,STANDARD,id,en,pl,23.2,2023-01-20,2023-01-20,2023-01-21,1
PXaUFTYh,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,de,51.8,2023-01-10,2023-01-20,2023-01-23,1
TgSiOLoP,2096064,SUBTITLE,VIDEO,STANDARD,en,en,pl,26.5,2023-01-12,2023-01-20,2023-01-21,1
pZsxbtgD,2095588,SUBTITLE,VIDEO,STANDARD,id,en,hu,23.3,2022-12-27,2023-01-20,2023-01-23,1
qtZexWHA,2096064,SUBTITLE,VIDEO,STANDARD,en,en,nb,26.5,2023-01-07,2023-01-20,2023-01-21,1
nItEwbCX,2107925,SUBTITLE,VIDEO,STANDARD,en,en,pl,38.4,2023-01-19,2023-01-20,2023-01-20,1
xiBdfMIT,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,sv,33.5,2023-01-17,2023-01-21,2023-01-21,1
tgShWguZ,2096068,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,30.0,2023-01-21,2023-01-21,2023-01-22,1
xiBdfMIT,2105919,SUBTITLE,VIDEO,STANDARD,en,en,sv,42.3,2023-01-10,2023-01-21,2023-01-21,1
pZsxbtgD,2095591,SUBTITLE,VIDEO,STANDARD,id,en,hu,22.4,2022-12-30,2023-01-21,2023-01-23,1
xiBdfMIT,2105913,SUBTITLE,VIDEO,STANDARD,en,en,sv,42.3,2023-01-10,2023-01-21,2023-01-21,1
HhnspbHV,2096061,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hant,27.6,2023-01-15,2023-01-21,2023-01-21,1
pZsxbtgD,2095598,SUBTITLE,VIDEO,STANDARD,id,en,hu,23.4,2023-01-02,2023-01-21,2023-01-23,1
SHPXbNDL,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,ko,33.5,2023-01-15,2023-01-21,2023-01-21,1
zlMhzMsU,1392453,CLOSED_CAPTIONING,VIDEO,STANDARD,ja,en,en,15.3,2023-01-18,2023-01-21,2023-01-28,1
cysanZTi,2112383,SUBTITLE,VIDEO,STANDARD,en,en,ko,31.7,2023-01-15,2023-01-21,2023-01-23,1
gnQQVXJF,2135121,CLOSED_CAPTIONING,VIDEO,STANDARD,ko,ko,ko,42.3,2023-01-17,2023-01-21,2023-01-21,1
VQGhYaYB,2095626,CLOSED_CAPTIONING,VIDEO,STANDARD,ko,en,en,48.1,2023-01-18,2023-01-21,2023-02-09,1
dOKZOfsD,1940512,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,18.4,2023-01-12,2023-01-21,2023-01-27,1
iQMFtvHX,1780968,SUBTITLE,VIDEO,STANDARD,ko,en,fil,79.7,2023-01-11,2023-01-21,2023-03-04,1
OsbxBWsm,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,pl,51.8,2023-01-10,2023-01-21,2023-01-23,1
dOKZOfsD,1940515,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,26.5,2023-01-12,2023-01-21,2023-01-28,1
hJrqqQYH,2061610,LANGUAGE_TEMPLATE,VIDEO,STANDARD,pt-BR,en,pt-BR,11.4,2023-01-21,2023-01-21,2023-01-31,1
BVzgEmOh,2096064,SUBTITLE,VIDEO,STANDARD,en,en,uk,26.5,2023-01-16,2023-01-21,2023-01-21,1
hJrqqQYH,2061581,LANGUAGE_TEMPLATE,VIDEO,STANDARD,pt-BR,en,pt-BR,10.9,2023-01-21,2023-01-21,2023-01-23,1
YXvkqWpy,1702940,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,23.4,2023-01-12,2023-01-21,2023-01-28,1
gITSDsuK,2096065,SUBTITLE,VIDEO,STANDARD,en,en,ru,31.0,2023-01-15,2023-01-21,2023-01-24,1
qqGLQCrL,2096064,SUBTITLE,VIDEO,STANDARD,en,en,fil,26.5,2023-01-20,2023-01-21,2023-01-21,1
hJrqqQYH,2061589,LANGUAGE_TEMPLATE,VIDEO,STANDARD,pt-BR,en,pt-BR,11.7,2023-01-21,2023-01-21,2023-01-25,1
YXvkqWpy,1702935,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.6,2023-01-12,2023-01-21,2023-01-27,1
gITSDsuK,2096064,SUBTITLE,VIDEO,STANDARD,en,en,ru,26.5,2023-01-13,2023-01-21,2023-01-21,1
hJrqqQYH,2061608,LANGUAGE_TEMPLATE,VIDEO,STANDARD,pt-BR,en,pt-BR,11.6,2023-01-21,2023-01-21,2023-01-24,1
YXvkqWpy,1702939,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.5,2023-01-12,2023-01-21,2023-01-26,1
tgShWguZ,2077694,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,38.6,2023-01-21,2023-01-21,2023-01-24,1
YXvkqWpy,1702932,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.2,2023-01-12,2023-01-21,2023-01-25,1
gITSDsuK,2096067,SUBTITLE,VIDEO,STANDARD,en,en,ru,25.6,2023-01-17,2023-01-21,2023-01-26,1
YXvkqWpy,1702938,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.7,2023-01-12,2023-01-21,2023-01-21,1
YXvkqWpy,1702937,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,16.0,2023-01-12,2023-01-21,2023-01-24,1
tgShWguZ,2077700,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,39.2,2023-01-22,2023-01-22,2023-01-24,1
tgShWguZ,2077702,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,37.3,2023-01-21,2023-01-22,2023-01-24,1
bEihoqpm,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,ro,51.8,2023-01-20,2023-01-22,2023-01-23,1
LeinCivl,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,cs,51.8,2023-01-17,2023-01-22,2023-01-23,1
qtZexWHA,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,nb,51.8,2023-01-17,2023-01-22,2023-01-23,1
BBuFMuon,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,en,51.8,2023-01-17,2023-01-22,2023-01-23,1
zlMhzMsU,1392458,CLOSED_CAPTIONING,VIDEO,STANDARD,ja,en,en,15.3,2023-01-19,2023-01-22,2023-01-28,1
HhnspbHV,2096064,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hant,26.5,2023-01-18,2023-01-22,2023-01-21,0
JvrkbvKA,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,nl,51.8,2023-01-17,2023-01-22,2023-01-23,1
pZsxbtgD,2095599,SUBTITLE,VIDEO,STANDARD,id,en,hu,20.9,2023-01-07,2023-01-22,2023-01-23,1
KLjyMfXP,2073176,CLOSED_CAPTIONING,VIDEO,STANDARD,it,it,it,48.7,2023-01-16,2023-01-22,2023-01-22,1
pZsxbtgD,2095596,SUBTITLE,VIDEO,STANDARD,id,en,hu,24.0,2023-01-05,2023-01-22,2023-01-23,1
gFmRQHMG,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,hu,51.8,2023-01-17,2023-01-22,2023-01-23,1
OMVTdGEt,2095588,SUBTITLE,VIDEO,STANDARD,id,en,sv,23.3,2023-01-16,2023-01-22,2023-01-23,1
ARbECEWC,2118199,SUBTITLE,VIDEO,STANDARD,en,en,it,37.3,2023-01-18,2023-01-22,2023-01-23,1
OMVTdGEt,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,sv,51.8,2023-01-20,2023-01-22,2023-01-23,1
AeDhGgdZ,2142927,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ko,ko,en,61.7,2023-01-18,2023-01-22,2023-01-23,1
ARbECEWC,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,it,51.8,2023-01-19,2023-01-22,2023-01-23,1
txcQyuUP,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,nb,33.5,2023-01-19,2023-01-22,2023-01-24,1
kJlWkbgZ,2029468,SUBTITLE,VIDEO,STANDARD,en,en,uk,46.7,2023-01-04,2023-01-22,2023-01-24,1
OZjhMWyp,2135118,SUBTITLE,VIDEO,STANDARD,ko,ko,zh-Hans,50.2,2023-01-14,2023-01-22,2023-01-24,1
okXcQOHG,2105905,SUBTITLE,VIDEO,STANDARD,en,en,nb,42.7,2023-01-16,2023-01-22,2023-01-24,1
FUzujfxu,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,hr,51.8,2023-01-17,2023-01-22,2023-01-23,1
qtZexWHA,2085504,SUBTITLE,VIDEO,STANDARD,en,en,nb,13.3,2023-01-04,2023-01-23,2023-01-28,1
VQGhYaYB,2095617,CLOSED_CAPTIONING,VIDEO,STANDARD,ko,en,en,51.5,2023-01-21,2023-01-23,2023-02-09,1
okXcQOHG,2105911,SUBTITLE,VIDEO,STANDARD,en,en,nb,41.0,2023-01-19,2023-01-23,2023-01-24,1
naXyuHUX,2124349,SUBTITLE,VIDEO,STANDARD,en,en,de,41.9,2023-01-14,2023-01-23,2023-01-25,1
YXvkqWpy,1702934,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.0,2023-01-12,2023-01-23,2023-01-24,1
wjGCMHzJ,2096846,SUBTITLE,VIDEO,STANDARD,en,en,hu,77.2,2023-01-19,2023-01-23,2023-01-27,1
YXvkqWpy,1702936,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.3,2023-01-12,2023-01-23,2023-01-24,1
cysanZTi,2112388,SUBTITLE,VIDEO,STANDARD,en,en,ko,27.6,2023-01-21,2023-01-23,2023-01-23,1
YXvkqWpy,1702933,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,14.2,2023-01-12,2023-01-23,2023-01-24,1
PXaUFTYh,2096062,SUBTITLE,VIDEO,STANDARD,en,en,de,24.1,2023-01-23,2023-01-23,2023-03-09,1
wpXCCDFZ,2096065,SUBTITLE,VIDEO,STANDARD,en,en,hr,31.0,2023-01-18,2023-01-23,2023-01-24,1
JvxbzeQN,2094511,SUBTITLE,VIDEO,STANDARD,ja,en,th,33.2,2023-01-10,2023-01-23,2023-02-01,1
AdfPeukL,2096065,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hans,31.0,2023-01-15,2023-01-23,2023-01-24,1
JvxbzeQN,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,th,33.5,2023-01-11,2023-01-23,2023-02-01,1
utzVaIUH,2107929,SUBTITLE,VIDEO,STANDARD,en,en,pt-BR,30.3,2023-01-21,2023-01-23,2023-01-23,1
xcGfOVqI,2111069,CLOSED_CAPTIONING,VIDEO,STANDARD,pt-BR,en,en,30.1,2023-01-20,2023-01-23,2023-01-23,1
xGKmlmID,2105909,SUBTITLE,VIDEO,STANDARD,en,en,ms,41.5,2023-01-17,2023-01-23,2023-01-23,1
xcGfOVqI,2111050,CLOSED_CAPTIONING,VIDEO,STANDARD,pt-BR,en,en,33.8,2023-01-22,2023-01-23,2023-01-25,1
cAFqECkn,2118201,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hans,51.7,2023-01-19,2023-01-23,2023-01-24,1
XjfYeffl,2120873,SUBTITLE,VIDEO,STANDARD,en,en,hu,47.5,2023-01-12,2023-01-23,2023-01-27,1
qtZexWHA,2112867,SUBTITLE,VIDEO,STANDARD,en,en,nb,13.3,2022-12-20,2023-01-23,2023-01-28,1
qtZexWHA,2085505,SUBTITLE,VIDEO,STANDARD,en,en,nb,13.3,2023-01-07,2023-01-23,2023-01-28,1
ARbECEWC,2096065,SUBTITLE,VIDEO,STANDARD,en,en,it,31.0,2023-01-20,2023-01-23,2023-01-24,1
gFmRQHMG,2096065,SUBTITLE,VIDEO,STANDARD,en,en,hu,31.0,2023-01-22,2023-01-23,2023-01-24,1
BVzgEmOh,2096065,SUBTITLE,VIDEO,STANDARD,en,en,uk,31.0,2023-01-21,2023-01-23,2023-01-24,1
dNvmerab,2107929,SUBTITLE,VIDEO,STANDARD,en,en,ko,30.3,2023-01-17,2023-01-23,2023-01-23,1
RWbbewLb,2124769,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,24.1,2023-01-20,2023-01-23,2023-01-24,1
gpGfSHCP,1392452,SUBTITLE,VIDEO,STANDARD,ja,en,fil,15.3,2023-01-23,2023-01-23,2023-01-28,1
OErZfWyS,1392460,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ja,en,en,15.3,2023-01-11,2023-01-23,2023-01-24,1
ZMnioVxt,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,zh-Hans,33.5,2023-01-20,2023-01-23,2023-01-24,1
YTtxkiOA,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,fil,33.5,2023-01-18,2023-01-23,2023-01-24,1
hJrqqQYH,2094527,SUBTITLE,VIDEO,STANDARD,ja,en,pt-BR,34.7,2023-01-17,2023-01-23,2023-02-02,1
TgSiOLoP,2096065,SUBTITLE,VIDEO,STANDARD,en,en,pl,31.0,2023-01-15,2023-01-23,2023-01-24,1
OTGinWin,2136550,LANGUAGE_TEMPLATE,VIDEO,STANDARD,en,en,en,34.1,2023-01-18,2023-01-23,2023-01-27,1
nItEwbCX,2107927,SUBTITLE,VIDEO,STANDARD,en,en,pl,35.5,2023-01-23,2023-01-23,2023-01-25,1
GkcAOtpq,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,hu,33.5,2023-01-14,2023-01-23,2023-02-01,1
GkcAOtpq,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,hu,33.5,2023-01-13,2023-01-23,2023-02-01,1
tgShWguZ,2077695,CLOSED_CAPTIONING,VIDEO,STANDARD,es,en,en,54.2,2023-01-22,2023-01-23,2023-01-24,1
GkcAOtpq,2094511,SUBTITLE,VIDEO,STANDARD,ja,en,hu,33.2,2023-01-12,2023-01-23,2023-02-01,1
dUWuDuOV,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,it,33.5,2023-01-18,2023-01-23,2023-01-24,1
IUbMxeZw,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,hr,33.5,2023-01-20,2023-01-23,2023-01-24,1
nItEwbCX,2107929,SUBTITLE,VIDEO,STANDARD,en,en,pl,30.3,2023-01-20,2023-01-23,2023-01-23,1
OMVTdGEt,2095591,SUBTITLE,VIDEO,STANDARD,id,en,sv,22.4,2023-01-16,2023-01-23,2023-01-23,1
leqxcwSj,2144695,LANGUAGE_TEMPLATE,VIDEO,STANDARD,en,en,en,105.4,2022-12-19,2023-01-23,2023-01-18,0
OMVTdGEt,2095598,SUBTITLE,VIDEO,STANDARD,id,en,sv,23.4,2023-01-20,2023-01-23,2023-01-23,1
OMVTdGEt,2095596,SUBTITLE,VIDEO,STANDARD,id,en,sv,24.0,2023-01-20,2023-01-23,2023-01-23,1
OMVTdGEt,2095599,SUBTITLE,VIDEO,STANDARD,id,en,sv,20.9,2023-01-20,2023-01-23,2023-01-23,1
OMVTdGEt,2095589,SUBTITLE,VIDEO,STANDARD,id,en,sv,21.2,2023-01-21,2023-01-23,2023-01-23,1
OMVTdGEt,2095594,SUBTITLE,VIDEO,STANDARD,id,en,sv,22.3,2023-01-21,2023-01-23,2023-01-23,1
OMVTdGEt,2095605,SUBTITLE,VIDEO,STANDARD,id,en,sv,21.7,2023-01-21,2023-01-23,2023-01-23,1
OMVTdGEt,2095597,SUBTITLE,VIDEO,STANDARD,id,en,sv,21.4,2023-01-21,2023-01-23,2023-01-23,1
LsKhZFFt,2094527,SUBTITLE,VIDEO,STANDARD,ja,en,fi,34.7,2023-01-20,2023-01-24,2023-02-02,1
dUWuDuOV,2094515,SUBTITLE,VIDEO,STANDARD,ja,en,it,33.2,2023-01-18,2023-01-24,2023-01-27,1
xiBdfMIT,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,sv,33.5,2023-01-17,2023-01-24,2023-01-24,1
OMVTdGEt,2095601,SUBTITLE,VIDEO,STANDARD,id,en,sv,23.2,2023-01-21,2023-01-24,2023-01-25,1
ZMnioVxt,2094515,SUBTITLE,VIDEO,STANDARD,ja,en,zh-Hans,33.2,2023-01-23,2023-01-24,2023-01-27,1
qtZexWHA,2096065,SUBTITLE,VIDEO,STANDARD,en,en,nb,31.0,2023-01-11,2023-01-24,2023-01-24,1
yNGtTaDf,2096065,SUBTITLE,VIDEO,STANDARD,en,en,pt-BR,31.0,2023-01-17,2023-01-24,2023-01-24,1
GfbGkaBW,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,cs,33.5,2023-01-16,2023-01-24,2023-01-24,1
SHPXbNDL,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,ko,33.5,2023-01-17,2023-01-24,2023-01-24,1
OMVTdGEt,2096065,SUBTITLE,VIDEO,STANDARD,en,en,sv,31.0,2023-01-16,2023-01-24,2023-01-24,1
bEihoqpm,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,ro,33.5,2023-01-23,2023-01-24,2023-01-24,1
OkTpuMPO,2097183,SUBTITLE,VIDEO,STANDARD,it,en,th,48.8,2023-01-07,2023-01-24,2023-01-26,1
nVKzXxfx,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,uk,51.8,2023-01-17,2023-01-24,2023-01-25,1
leqxcwSj,2124912,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,40.0,2023-01-23,2023-01-24,2023-01-25,1
utzVaIUH,2115223,SUBTITLE,VIDEO,STANDARD,it,en,pt-BR,38.2,2023-01-19,2023-01-24,2023-01-25,1
BBuFMuon,2094515,SUBTITLE,VIDEO,STANDARD,ja,en,en,33.2,2023-01-12,2023-01-24,2023-01-27,1
utzVaIUH,2115221,SUBTITLE,VIDEO,STANDARD,it,en,pt-BR,36.1,2023-01-23,2023-01-24,2023-01-25,1
qqGLQCrL,2096065,SUBTITLE,VIDEO,STANDARD,en,en,fil,31.0,2023-01-21,2023-01-24,2023-01-24,1
eSgINOPj,2096065,SUBTITLE,VIDEO,STANDARD,en,en,fi,31.0,2023-01-12,2023-01-24,2023-01-24,1
gpGfSHCP,2124772,SUBTITLE,VIDEO,STANDARD,en,en,fil,24.1,2023-01-24,2023-01-24,2023-01-31,1
hknphKFV,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,ms,33.5,2023-01-22,2023-01-24,2023-01-24,1
WeENrAgu,2124261,LANGUAGE_TEMPLATE,VIDEO,STANDARD,en,en,en,19.1,2023-01-14,2023-01-24,2023-01-27,1
WeENrAgu,2124246,LANGUAGE_TEMPLATE,VIDEO,STANDARD,en,en,en,19.4,2023-01-16,2023-01-24,2023-01-27,1
PXaUFTYh,2096059,SUBTITLE,VIDEO,STANDARD,en,en,de,24.9,2023-01-17,2023-01-24,2023-03-09,1
WeENrAgu,2124317,LANGUAGE_TEMPLATE,VIDEO,STANDARD,en,en,en,19.2,2023-01-16,2023-01-24,2023-01-27,1
OMVTdGEt,2082437,SUBTITLE,VIDEO,STANDARD,en,en,sv,57.3,2023-01-21,2023-01-24,2023-01-24,1
KRfKyHYR,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,uk,33.5,2023-01-23,2023-01-24,2023-01-24,1
BOYzMCiQ,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,ru,33.5,2023-01-20,2023-01-24,2023-01-24,1
TDsIUrkf,2142925,SUBTITLE,VIDEO,STANDARD,ko,ko,zh-Hans,59.5,2023-01-19,2023-01-24,2023-01-26,1
yNGtTaDf,2061581,CLOSED_CAPTIONING,VIDEO,STANDARD,pt-BR,pt-BR,pt-BR,10.9,2023-01-23,2023-01-24,2023-01-24,1
PxkzDkOL,2052049,SUBTITLE,VIDEO,STANDARD,ja,en,de,17.1,2023-01-23,2023-01-24,2023-01-24,1
hknphKFV,2096065,SUBTITLE,VIDEO,STANDARD,en,en,ms,31.0,2023-01-22,2023-01-24,2023-01-24,1
PxkzDkOL,2052050,SUBTITLE,VIDEO,STANDARD,ja,en,de,32.6,2023-01-23,2023-01-24,2023-01-24,1
TBFSBpEH,2096065,SUBTITLE,VIDEO,STANDARD,en,en,ko,31.0,2023-01-22,2023-01-24,2023-01-24,1
RWbbewLb,2124772,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,24.1,2023-01-23,2023-01-24,2023-01-25,1
ybKmJYPU,2104156,SUBTITLE,VIDEO,STANDARD,pl,en,sv,98.4,2023-01-17,2023-01-24,2023-01-24,1
qguDhweS,2094523,SUBTITLE,VIDEO,STANDARD,ja,en,pl,33.5,2023-01-16,2023-01-24,2023-01-24,1
gpGfSHCP,1392460,SUBTITLE,VIDEO,STANDARD,ja,en,fil,15.3,2023-01-24,2023-01-24,2023-01-28,1
paKJyytC,2135130,SUBTITLE,VIDEO,STANDARD,ko,en,es,51.8,2023-01-17,2023-01-24,2023-01-25,1
qdiHWhRr,2104156,SUBTITLE,VIDEO,STANDARD,pl,en,de,98.4,2022-12-29,2023-01-24,2023-01-24,1
YTtxkiOA,2094519,SUBTITLE,VIDEO,STANDARD,ja,en,fil,33.5,2023-01-16,2023-01-24,2023-01-25,1
PxkzDkOL,2052051,SUBTITLE,VIDEO,STANDARD,ja,en,de,17.3,2023-01-17,2023-01-24,2023-01-24,1
